unidade;ano;mes;grupo;subgrupo;exames
CSPD;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;32
CSPD;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1122
CSPD;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;59
CSPD;2024;2;Procedimentos com finalidade diagnóstica;Coleta de material;10
CSPD;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;654
CSPD;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;34
CSPD;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;782
CSPD;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;265
CSPD;2024;2;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;6
CSPD;2024;3;Procedimentos com finalidade diagnóstica;Coleta de material;9
CSPD;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;706
CSPD;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;37
CSPD;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;842
CSPD;2024;3;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;169
CSPD;2024;3;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;8
CSPD;2024;4;Procedimentos com finalidade diagnóstica;Coleta de material;4
CSPD;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;899
CSPD;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;47
CSPD;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1102
CSPD;2024;4;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;273
CSPD;2024;5;Procedimentos com finalidade diagnóstica;Coleta de material;5
CSPD;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;717
CSPD;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;34
CSPD;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1520
CSPD;2024;5;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;308
CSPD;2024;5;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;3
CSPD;2024;6;Procedimentos com finalidade diagnóstica;Coleta de material;11
CSPD;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;783
CSPD;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;31
CSPD;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1278
CSPD;2024;6;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;275
CSPD;2024;7;Procedimentos com finalidade diagnóstica;Coleta de material;25
CSPD;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;788
CSPD;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;30
CSPD;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;1134
CSPD;2024;7;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;217
CSSFE;2023;11;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;3
CSSFE;2023;12;Procedimentos com finalidade diagnóstica;Coleta de material;4
CSSFE;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;764
CSSFE;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;25
CSSFE;2023;12;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;680
CSSFE;2023;12;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;10
CSSFE;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1195
CSSFE;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;22
CSSFE;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por teste rápido;927
CSSFE;2024;1;Procedimentos com finalidade diagnóstica;Diagnóstico por ultrasonografia;3
CSSFE;2024;1;Procedimentos com finalidade diagnóstica;Métodos diagnósticos em especialidades;25
CSSFE;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico em laboratório clínico;1867
CSSFE;2024;2;Procedimentos com finalidade diagnóstica;Diagnóstico por radiologia;22
